applyId,applyName,platformKindId,platformKindName,appTerminalKindId,appTerminalKindName,applyKindId,applyKindName,userKindId,userKindName,businessKindId,businessKindName,categoryFirstId,categoryFirstName
1,保椿白鹳 | 画眉鸟平台商业运营端,,,1,应用(客服 APP),5,员工端,4,运营人员,,,,
1,保椿白鹳 | 画眉鸟平台商业运营端,,,4,电脑(平台运营端),5,员工端,4,运营人员,,,,
2,保椿白鹳 | 服务商家平台,1,保椿照护,1,应用(服务人员 APP),3,服务人员端,2,服务人员,16,服务业务,1,服务
2,保椿白鹳 | 服务商家平台,1,保椿照护,1,应用(客服 APP),5,员工端,4,运营人员,16,服务业务,1,服务
2,保椿白鹳 | 服务商家平台,1,保椿照护,2,小程序,1,顾客端,1,顾客,16,服务业务,1,服务
2,保椿白鹳 | 服务商家平台,1,保椿照护,4,电脑(服务商家 PC端),4,商户端,16,服务商户,16,服务业务,1,服务
2,保椿白鹳 | 服务商家平台,1,保椿照护,4,电脑(平台运营端),5,员工端,4,运营人员,16,服务业务,1,服务
2,保椿白鹳 | 服务商家平台,2,保椿乐悠,1,应用(服务人员 APP),3,服务人员端,2,服务人员,16,服务业务,1,服务
2,保椿白鹳 | 服务商家平台,2,保椿乐悠,1,应用(客服 APP),5,员工端,4,运营人员,16,服务业务,1,服务
2,保椿白鹳 | 服务商家平台,2,保椿乐悠,2,小程序,1,顾客端,1,顾客,16,服务业务,1,服务
2,保椿白鹳 | 服务商家平台,2,保椿乐悠,4,电脑(服务商家 PC端),4,商户端,16,服务商户,16,服务业务,1,服务
2,保椿白鹳 | 服务商家平台,2,保椿乐悠,4,电脑(平台运营端),5,员工端,4,运营人员,16,服务业务,1,服务
3,保椿喜鹊 | 商品商家平台,1,保椿照护,1,应用(商家 APP),4,商户端,32,商品商户,32,商品业务,2,商品
3,保椿喜鹊 | 商品商家平台,1,保椿照护,1,应用(客服 APP),5,员工端,4,运营人员,32,商品业务,2,商品
3,保椿喜鹊 | 商品商家平台,1,保椿照护,2,小程序,1,顾客端,1,顾客,32,商品业务,2,商品
3,保椿喜鹊 | 商品商家平台,1,保椿照护,3,平板,2,顾客场景端,9,长者,32,商品业务,2,商品
3,保椿喜鹊 | 商品商家平台,1,保椿照护,4,电脑(商品商家 PC端),4,商户端,32,商品商户,32,商品业务,2,商品
3,保椿喜鹊 | 商品商家平台,1,保椿照护,4,电脑(平台运营端),5,员工端,4,运营人员,32,商品业务,2,商品
3,保椿喜鹊 | 商品商家平台,2,保椿乐悠,1,应用(商家 APP),4,商户端,32,商品商户,32,商品业务,2,商品
3,保椿喜鹊 | 商品商家平台,2,保椿乐悠,1,应用(客服 APP),5,员工端,4,运营人员,32,商品业务,2,商品
3,保椿喜鹊 | 商品商家平台,2,保椿乐悠,2,小程序,1,顾客端,1,顾客,32,商品业务,2,商品
3,保椿喜鹊 | 商品商家平台,2,保椿乐悠,3,平板,2,顾客场景端,9,长者,32,商品业务,2,商品
3,保椿喜鹊 | 商品商家平台,2,保椿乐悠,4,电脑(商品商家 PC端),4,商户端,32,商品商户,32,商品业务,2,商品
3,保椿喜鹊 | 商品商家平台,2,保椿乐悠,4,电脑(平台运营端),5,员工端,4,运营人员,32,商品业务,2,商品
12,保椿白鹳 | 机构商家平台,1,保椿照护,1,应用(客服 APP),5,员工端,4,运营人员,5,养老机构业务,3,机构
12,保椿白鹳 | 机构商家平台,1,保椿照护,2,小程序,1,顾客端,1,顾客,5,养老机构业务,3,机构
12,保椿白鹳 | 机构商家平台,1,保椿照护,4,电脑(机构商家 PC端),4,商户端,5,机构商户,5,养老机构业务,3,机构
12,保椿白鹳 | 机构商家平台,1,保椿照护,4,电脑(平台运营端),5,员工端,4,运营人员,5,养老机构业务,3,机构
12,保椿白鹳 | 机构商家平台,2,保椿乐悠,1,应用(客服 APP),5,员工端,4,运营人员,5,养老机构业务,3,机构
12,保椿白鹳 | 机构商家平台,2,保椿乐悠,2,小程序,1,顾客端,1,顾客,5,养老机构业务,3,机构
12,保椿白鹳 | 机构商家平台,2,保椿乐悠,4,电脑(机构商家 PC端),4,商户端,5,机构商户,5,养老机构业务,3,机构
12,保椿白鹳 | 机构商家平台,2,保椿乐悠,4,电脑(平台运营端),5,员工端,4,运营人员,5,养老机构业务,3,机构
13,保椿白鹳 | 康养商家平台,1,保椿照护,1,应用(客服 APP),5,员工端,4,运营人员,6,健康机构业务,4,康养
13,保椿白鹳 | 康养商家平台,1,保椿照护,2,小程序,1,顾客端,1,顾客,6,健康机构业务,4,康养
13,保椿白鹳 | 康养商家平台,1,保椿照护,4,电脑(康养商家 PC端),4,商户端,6,康养商户,6,健康机构业务,4,康养
13,保椿白鹳 | 康养商家平台,1,保椿照护,4,电脑(平台运营端),5,员工端,4,运营人员,6,健康机构业务,4,康养
13,保椿白鹳 | 康养商家平台,2,保椿乐悠,1,应用(客服 APP),5,员工端,4,运营人员,6,健康机构业务,4,康养
13,保椿白鹳 | 康养商家平台,2,保椿乐悠,2,小程序,1,顾客端,1,顾客,6,健康机构业务,4,康养
13,保椿白鹳 | 康养商家平台,2,保椿乐悠,4,电脑(康养商家 PC端),4,商户端,6,康养商户,6,健康机构业务,4,康养
13,保椿白鹳 | 康养商家平台,2,保椿乐悠,4,电脑(平台运营端),5,员工端,4,运营人员,6,健康机构业务,4,康养
14,保椿白鹳 | 内容商家平台,1,保椿照护,1,应用(客服 APP),5,员工端,4,运营人员,7,创作者业务,5,内容
14,保椿白鹳 | 内容商家平台,1,保椿照护,2,小程序,1,顾客端,1,顾客,7,创作者业务,5,内容
14,保椿白鹳 | 内容商家平台,1,保椿照护,4,电脑(内容商家 PC端),4,商户端,7,创作者商户,7,创作者业务,5,内容
14,保椿白鹳 | 内容商家平台,1,保椿照护,4,电脑(平台运营端),5,员工端,4,运营人员,7,创作者业务,5,内容
14,保椿白鹳 | 内容商家平台,2,保椿乐悠,1,应用(客服 APP),5,员工端,4,运营人员,7,创作者业务,5,内容
14,保椿白鹳 | 内容商家平台,2,保椿乐悠,2,小程序,1,顾客端,1,顾客,7,创作者业务,5,内容
14,保椿白鹳 | 内容商家平台,2,保椿乐悠,4,电脑(内容商家 PC端),4,商户端,7,创作者商户,7,创作者业务,5,内容
14,保椿白鹳 | 内容商家平台,2,保椿乐悠,4,电脑(平台运营端),5,员工端,4,运营人员,7,创作者业务,5,内容
16,保椿乐悠 | 云课堂商家平台,1,保椿照护,1,应用(客服 APP),5,员工端,4,运营人员,8,云课堂业务,8,云课堂
16,保椿乐悠 | 云课堂商家平台,1,保椿照护,2,小程序,1,顾客端,1,顾客,8,云课堂业务,8,云课堂
16,保椿乐悠 | 云课堂商家平台,1,保椿照护,4,电脑(内容商家 PC端),4,商户端,8,云课堂商户,8,云课堂业务,8,云课堂
16,保椿乐悠 | 云课堂商家平台,1,保椿照护,4,电脑(平台运营端),5,员工端,4,运营人员,8,云课堂业务,8,云课堂
16,保椿乐悠 | 云课堂商家平台,2,保椿乐悠,1,应用(客服 APP),5,员工端,4,运营人员,8,云课堂业务,8,云课堂
16,保椿乐悠 | 云课堂商家平台,2,保椿乐悠,2,小程序,1,顾客端,1,顾客,8,云课堂业务,8,云课堂
16,保椿乐悠 | 云课堂商家平台,2,保椿乐悠,4,电脑(内容商家 PC端),4,商户端,8,云课堂商户,8,云课堂业务,8,云课堂
16,保椿乐悠 | 云课堂商家平台,2,保椿乐悠,4,电脑(平台运营端),5,员工端,4,运营人员,8,云课堂业务,8,云课堂
